pool,pair_symbols,epoch_week,fee_tier_bps,fees_usd,volume_usd,tvl_usd,emissions_aero,aero_price,emissions_usd,fees_per_emission,profitable
0x1d6aaa7ae38856fffc37e5e3c99d1c392631f450,WETH/AION,2025-W02,30.0,0.0097,3.2393,0.0,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W05,30.0,11.3839,3794.6269,19074.5,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W06,30.0,0.7466,248.8528,15251.61,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W07,30.0,0.0011,0.3666,13020.19,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W08,30.0,0.0003,0.0999,13197.75,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W09,30.0,0.0005,0.1783,12619.37,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W11,30.0,1.5367,512.2479,10939.05,0.0,0.0,0.0,,True
0x9f093177c5087dd280bd61a1afab564814807014,dlcBTC/WETH,2025-W12,5.0,0.1567,313.4478,85928.7,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W12,30.0,20.5228,6840.934,15632.7,0.0,0.0,0.0,,True
0x80866012a372c686a3b71a2ab05d004e29b36e1b,WETH/RED,2025-W12,30.0,275.5297,91843.2388,461069.87,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W13,30.0,14.016,4672.0025,15795.78,0.0,0.0,0.0,,True
0x9f093177c5087dd280bd61a1afab564814807014,dlcBTC/WETH,2025-W13,5.0,0.086,172.0925,7239582.64,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W14,30.0,5.1602,1720.075,12900.47,0.0,0.0,0.0,,True
0x9f093177c5087dd280bd61a1afab564814807014,dlcBTC/WETH,2025-W14,5.0,0.247,494.0592,304598357.16,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W15,30.0,5.2082,1736.0522,10949.4,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W16,30.0,4.8373,1612.443,11566.67,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W17,30.0,11.1526,3717.5383,13650.69,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W18,30.0,9.2102,3070.0803,14031.38,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W19,30.0,10.8337,3611.247,15313.05,0.0,0.0,0.0,,True
0x9f093177c5087dd280bd61a1afab564814807014,dlcBTC/WETH,2025-W19,5.0,0.0003,0.5887,80907.41,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W20,30.0,7.3413,2447.1093,19493.19,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W21,30.0,0.1039,34.6434,20180.74,0.0,0.0,0.0,,True
0x4fb60e5715a22bdc29a1333d7894da2aa735f5a9,WETH/GHST,2025-W21,30.0,0.04,13.3205,1.22,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W22,30.0,0.1121,37.3538,19549.87,0.0,0.0,0.0,,True
0x9f093177c5087dd280bd61a1afab564814807014,dlcBTC/WETH,2025-W22,5.0,0.0013,2.5587,113647.45,0.0,0.0,0.0,,True
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W23,30.0,0.2136,71.1986,16636.71,0.0,0.0,0.0,,True
0x0c1a09d5d0445047da3ab4994262b22404288a3b,USDC/USD+,2025-W24,1.0,233.2894,2332893.5406,8744728.15,604.675544,0.660528,399.4049,0.5841,False
0x178904d6f5f49074fc3fdb918f0170e0dbb1677e,PSTAKE/USDC,2025-W24,30.0,8.8769,2958.9654,17949.59,103.455628,0.660528,68.3353,0.1299,False
0x1d6aaa7ae38856fffc37e5e3c99d1c392631f450,WETH/AION,2025-W24,30.0,260.3278,86775.9432,73049.61,377.26357,0.660528,249.193,1.0447,True
0x3333e1d9174720d6ec2cf815e65b82915a9eae1e,WETH/PEPE,2025-W24,30.0,378.7049,126234.953,377985.8,1358.109682,0.660528,897.0689,0.4222,False
0x46d398a5b33709877f50c8918a7ee96f1be1d7dd,WETH/VVV,2025-W24,30.0,4132.1191,1377373.0261,775534.25,5280.799272,0.660528,3488.1136,1.1846,True
0x51c230951b82dbf7b8696b6fcd2be199cc10779f,RFL/USDC,2025-W24,5.0,366.4354,732870.8043,130562.81,4049.219445,0.660528,2674.6212,0.137,False
0x54cdd0222df6b3bc17754c2c1b3d7d4203fe3d89,WETH/REI,2025-W24,30.0,7809.118,2603039.3351,1119671.99,30472.073187,0.660528,20127.6451,0.388,False
0x74e4c08bb50619b70550733d32b7e60424e9628e,WETH/TOSHI,2025-W24,30.0,15192.1163,5064038.7566,1237990.69,32215.456467,0.660528,21279.1978,0.7139,False
0x7c42dd1556754be827e187ce0870e70c5e571f35,WETH/HEU,2025-W24,30.0,4382.2945,1460764.8195,841781.5,37943.466417,0.660528,25062.7064,0.1749,False
0x7ce345561e1690445eefa0db04f59d64b65598a8,wBLT/USDC,2025-W24,5.0,289.6724,579344.842,1257028.68,6001.381626,0.660528,3964.0781,0.0731,False
0x80866012a372c686a3b71a2ab05d004e29b36e1b,WETH/RED,2025-W24,30.0,186.6029,62200.9588,356235.25,730.781058,0.660528,482.7011,0.3866,False
0x8a7b72f8ff5299e493317d4430293894107af859,WETH/SIGN,2025-W24,30.0,2349.9336,783311.1926,885173.03,6306.335211,0.660528,4165.5084,0.5641,False
0x984faeed533d60b53f142ad76b629d64849ea507,WETH/ACOLYT,2025-W24,30.0,386.0509,128683.6459,118622.76,2859.260575,0.660528,1888.6205,0.2044,False
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,USDC/USDT,2025-W24,1.0,1308.6391,13086390.8588,3195835.62,11691.206196,0.660528,7722.3643,0.1695,False
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W24,30.0,0.2289,76.2871,19166.63,0.0,0.660528,0.0,,True
0xbe700f5c75dfcbef3cae37873aeeb1724daed3f6,uDOGE/WETH,2025-W24,30.0,462.0832,154027.7279,123096.87,147.954157,0.660528,97.7278,4.7283,True
0xcb1f3e1a6bb8a0e2d97bdc9d48db093b2c0095f9,USDC/rETH,2025-W24,5.0,317.1627,634325.4677,64949.88,1707.588174,0.660528,1127.9091,0.2812,False
0xdfe5f275020def30993f042174fc2d335678b626,AERO/cbBTC,2025-W24,30.0,67853.4848,22617828.2532,1641468.1,50556.503686,0.660528,33393.9656,2.0319,True
0xce62141227cfd3fe8d715f403b99f0377c0c16c6,USDC/SQD,2025-W24,5.0,202.6839,405367.8368,17610.78,10693.046832,0.660528,7063.0525,0.0287,False
0x9f093177c5087dd280bd61a1afab564814807014,dlcBTC/WETH,2025-W24,5.0,0.0564,112.7974,39662543768.23,0.0,0.660528,0.0,,True
0x0c1a09d5d0445047da3ab4994262b22404288a3b,USDC/USD+,2025-W25,1.0,256.1481,2561480.7598,8746933.58,590.850547,0.800598,473.0339,0.5415,False
0x178904d6f5f49074fc3fdb918f0170e0dbb1677e,PSTAKE/USDC,2025-W25,30.0,5.5823,1860.7812,16474.32,73.248478,0.800598,58.6426,0.0952,False
0x1d6aaa7ae38856fffc37e5e3c99d1c392631f450,WETH/AION,2025-W25,30.0,290.6975,96899.1678,71327.76,614.784203,0.800598,492.1952,0.5906,False
0x3333e1d9174720d6ec2cf815e65b82915a9eae1e,WETH/PEPE,2025-W25,30.0,253.1151,84371.7164,328820.45,1211.215597,0.800598,969.6972,0.261,False
0x46d398a5b33709877f50c8918a7ee96f1be1d7dd,WETH/VVV,2025-W25,30.0,887.0475,295682.5083,640715.47,8712.073931,0.800598,6974.8716,0.1272,False
0x51c230951b82dbf7b8696b6fcd2be199cc10779f,RFL/USDC,2025-W25,5.0,329.1942,658388.3345,172847.31,5729.875418,0.800598,4587.3285,0.0718,False
0x54cdd0222df6b3bc17754c2c1b3d7d4203fe3d89,WETH/REI,2025-W25,30.0,12228.3605,4076120.1715,1141682.81,42330.704898,0.800598,33889.8906,0.3608,False
0x74e4c08bb50619b70550733d32b7e60424e9628e,WETH/TOSHI,2025-W25,30.0,11881.5107,3960503.5829,1054345.7,17404.937233,0.800598,13934.3632,0.8527,False
0x7c42dd1556754be827e187ce0870e70c5e571f35,WETH/HEU,2025-W25,30.0,998.6056,332868.5362,754225.99,39040.701921,0.800598,31255.9198,0.0319,False
0x7ce345561e1690445eefa0db04f59d64b65598a8,wBLT/USDC,2025-W25,5.0,201.8153,403630.6763,1203953.94,8208.476115,0.800598,6571.6921,0.0307,False
0x80866012a372c686a3b71a2ab05d004e29b36e1b,WETH/RED,2025-W25,30.0,232.1468,77382.2581,308143.25,793.251604,0.800598,635.0759,0.3655,False
0x8a7b72f8ff5299e493317d4430293894107af859,WETH/SIGN,2025-W25,30.0,5650.8404,1883613.4769,816212.72,2136.734037,0.800598,1710.6656,3.3033,True
0x984faeed533d60b53f142ad76b629d64849ea507,WETH/ACOLYT,2025-W25,30.0,370.6455,123548.4968,106514.82,1831.572198,0.800598,1466.3536,0.2528,False
0x9f093177c5087dd280bd61a1afab564814807014,dlcBTC/WETH,2025-W25,5.0,0.0005,0.9659,109370.02,0.0,0.800598,0.0,,True
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,USDC/USDT,2025-W25,1.0,1625.9436,16259435.6119,4444824.4,11435.124439,0.800598,9154.9412,0.1776,False
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W25,30.0,0.1673,55.7737,17505.14,0.0,0.800598,0.0,,True
0xbe700f5c75dfcbef3cae37873aeeb1724daed3f6,uDOGE/WETH,2025-W25,30.0,367.1483,122382.7798,110839.91,797.663574,0.800598,638.6081,0.5749,False
0xcb1f3e1a6bb8a0e2d97bdc9d48db093b2c0095f9,USDC/rETH,2025-W25,5.0,689.8749,1379749.854,162109.49,956.108468,0.800598,765.4588,0.9013,False
0xce62141227cfd3fe8d715f403b99f0377c0c16c6,USDC/SQD,2025-W25,5.0,220.9325,441864.9389,9653.27,2176.646801,0.800598,1742.6197,0.1268,False
0xdfe5f275020def30993f042174fc2d335678b626,AERO/cbBTC,2025-W25,30.0,94920.7489,31640249.6337,1922148.66,87666.775589,0.800598,70185.8719,1.3524,True
0x0c1a09d5d0445047da3ab4994262b22404288a3b,USDC/USD+,2025-W26,1.0,134.5029,1345028.5551,8750282.28,555.365972,0.797609,442.965,0.3036,False
0x178904d6f5f49074fc3fdb918f0170e0dbb1677e,PSTAKE/USDC,2025-W26,30.0,7.3991,2466.3639,16774.24,26.72139,0.797609,21.3132,0.3472,False
0x1d6aaa7ae38856fffc37e5e3c99d1c392631f450,WETH/AION,2025-W26,30.0,465.2392,155079.7451,170486.9,186.171899,0.797609,148.4924,3.1331,True
0x3333e1d9174720d6ec2cf815e65b82915a9eae1e,WETH/PEPE,2025-W26,30.0,171.3401,57113.368,325185.84,816.862601,0.797609,651.5371,0.263,False
0x46d398a5b33709877f50c8918a7ee96f1be1d7dd,WETH/VVV,2025-W26,30.0,1057.5988,352532.9361,666427.47,7103.341113,0.797609,5665.6904,0.1867,False
0x51c230951b82dbf7b8696b6fcd2be199cc10779f,RFL/USDC,2025-W26,5.0,208.8504,417700.724,181520.39,4730.948041,0.797609,3773.4478,0.0553,False
0x54cdd0222df6b3bc17754c2c1b3d7d4203fe3d89,WETH/REI,2025-W26,30.0,8987.034,2995677.995,1330480.16,51295.510448,0.797609,40913.7722,0.2197,False
0x74e4c08bb50619b70550733d32b7e60424e9628e,WETH/TOSHI,2025-W26,30.0,9502.6622,3167554.0733,1074929.72,15409.147896,0.797609,12290.4785,0.7732,False
0x7c42dd1556754be827e187ce0870e70c5e571f35,WETH/HEU,2025-W26,30.0,616.3748,205458.2647,760225.24,10020.289692,0.797609,7992.2755,0.0771,False
0x7ce345561e1690445eefa0db04f59d64b65598a8,wBLT/USDC,2025-W26,5.0,180.9947,361989.3125,1282115.77,5790.439281,0.797609,4618.5078,0.0392,False
0x80866012a372c686a3b71a2ab05d004e29b36e1b,WETH/RED,2025-W26,30.0,184.4316,61477.2083,317375.87,676.601301,0.797609,539.6634,0.3418,False
0x8a7b72f8ff5299e493317d4430293894107af859,WETH/SIGN,2025-W26,30.0,4905.4998,1635166.6011,810178.03,1282.043905,0.797609,1022.57,4.7972,True
0x984faeed533d60b53f142ad76b629d64849ea507,WETH/ACOLYT,2025-W26,30.0,449.1456,149715.1991,110943.98,1477.122171,0.797609,1178.1663,0.3812,False
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,USDC/USDT,2025-W26,1.0,411.4964,4114964.3139,3708982.33,8383.342658,0.797609,6686.6314,0.0615,False
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W26,30.0,0.1034,34.467,16351.68,0.0,0.797609,0.0,,True
0xbe700f5c75dfcbef3cae37873aeeb1724daed3f6,uDOGE/WETH,2025-W26,30.0,178.4088,59469.6089,113784.51,235.164753,0.797609,187.5696,0.9512,False
0xcb1f3e1a6bb8a0e2d97bdc9d48db093b2c0095f9,USDC/rETH,2025-W26,5.0,646.9347,1293869.3353,195759.9,974.740565,0.797609,777.4621,0.8321,False
0xce62141227cfd3fe8d715f403b99f0377c0c16c6,USDC/SQD,2025-W26,5.0,68.8053,137610.6745,4226.46,1901.694463,0.797609,1516.809,0.0454,False
0xdfe5f275020def30993f042174fc2d335678b626,AERO/cbBTC,2025-W26,30.0,70269.2622,23423087.3905,2762818.07,138750.513863,0.797609,110668.6894,0.635,False
0x9f093177c5087dd280bd61a1afab564814807014,dlcBTC/WETH,2025-W26,5.0,0.019,38.0849,109488.23,0.0,0.797609,0.0,,True
0x0c1a09d5d0445047da3ab4994262b22404288a3b,USDC/USD+,2025-W27,1.0,83.1977,831977.3903,8745914.97,542.215552,0.770214,417.6222,0.1992,False
0x178904d6f5f49074fc3fdb918f0170e0dbb1677e,PSTAKE/USDC,2025-W27,30.0,2.1136,704.5363,16419.18,56.623985,0.770214,43.6126,0.0485,False
0x1d6aaa7ae38856fffc37e5e3c99d1c392631f450,WETH/AION,2025-W27,30.0,173.8657,57955.2294,198606.13,439.82113,0.770214,338.7565,0.5132,False
0x3333e1d9174720d6ec2cf815e65b82915a9eae1e,WETH/PEPE,2025-W27,30.0,300.8463,100282.1061,333321.95,872.545329,0.770214,672.0469,0.4477,False
0x46d398a5b33709877f50c8918a7ee96f1be1d7dd,WETH/VVV,2025-W27,30.0,652.1899,217396.6208,684260.95,4032.481385,0.770214,3105.8747,0.21,False
0x51c230951b82dbf7b8696b6fcd2be199cc10779f,RFL/USDC,2025-W27,5.0,144.0862,288172.4271,180284.53,8300.75524,0.770214,6393.3601,0.0225,False
0x54cdd0222df6b3bc17754c2c1b3d7d4203fe3d89,WETH/REI,2025-W27,30.0,8529.4716,2843157.1912,1429876.34,47125.572556,0.770214,36296.7883,0.235,False
0x74e4c08bb50619b70550733d32b7e60424e9628e,WETH/TOSHI,2025-W27,30.0,9666.7158,3222238.5943,1134350.28,15433.155894,0.770214,11886.8368,0.8132,False
0x7c42dd1556754be827e187ce0870e70c5e571f35,WETH/HEU,2025-W27,30.0,543.2672,181089.0558,711628.47,4258.799588,0.770214,3280.1882,0.1656,False
0x7ce345561e1690445eefa0db04f59d64b65598a8,wBLT/USDC,2025-W27,5.0,86.4048,172809.6305,1312678.46,6594.531987,0.770214,5079.2026,0.017,False
0x80866012a372c686a3b71a2ab05d004e29b36e1b,WETH/RED,2025-W27,30.0,571.9875,190662.5039,332599.89,1061.175817,0.770214,817.3328,0.6998,False
0x8a7b72f8ff5299e493317d4430293894107af859,WETH/SIGN,2025-W27,30.0,2228.2542,742751.3833,814298.18,3578.056521,0.770214,2755.8702,0.8085,False
0x984faeed533d60b53f142ad76b629d64849ea507,WETH/ACOLYT,2025-W27,30.0,208.2063,69402.0933,117892.49,1587.004169,0.770214,1222.3333,0.1703,False
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,USDC/USDT,2025-W27,1.0,490.6221,4906221.1122,3571640.01,8190.011437,0.770214,6308.0636,0.0778,False
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W27,30.0,0.1469,48.9663,19272.89,0.0,0.770214,0.0,,True
0xbe700f5c75dfcbef3cae37873aeeb1724daed3f6,uDOGE/WETH,2025-W27,30.0,241.646,80548.6689,116421.93,592.501849,0.770214,456.3534,0.5295,False
0xcb1f3e1a6bb8a0e2d97bdc9d48db093b2c0095f9,USDC/rETH,2025-W27,5.0,393.2013,786402.5137,201113.95,1993.243828,0.770214,1535.2248,0.2561,False
0xce62141227cfd3fe8d715f403b99f0377c0c16c6,USDC/SQD,2025-W27,5.0,118.5195,237038.9243,7853.28,775.348116,0.770214,597.1842,0.1985,False
0xdfe5f275020def30993f042174fc2d335678b626,AERO/cbBTC,2025-W27,30.0,62460.1528,20820050.9334,3256354.86,132558.485021,0.770214,102098.4363,0.6118,False
0x8a80bc9528564c75c50e227a7213c3136b1de7e5,MXNe/WETH,2025-W27,30.0,3.9412,1313.7291,5822.66,0.0,0.770214,0.0,,True
0x9f093177c5087dd280bd61a1afab564814807014,dlcBTC/WETH,2025-W27,5.0,0.0032,6.3258,112129.58,0.0,0.770214,0.0,,True
0x0c1a09d5d0445047da3ab4994262b22404288a3b,USDC/USD+,2025-W28,1.0,292.3308,2923308.3901,8745826.91,528.742903,0.735128,388.6939,0.7521,False
0x178904d6f5f49074fc3fdb918f0170e0dbb1677e,PSTAKE/USDC,2025-W28,30.0,1.872,623.9926,15972.46,0.0,0.735128,0.0,,True
0x1d6aaa7ae38856fffc37e5e3c99d1c392631f450,WETH/AION,2025-W28,30.0,152.6617,50887.2428,177006.94,667.760468,0.735128,490.8896,0.311,False
0x3333e1d9174720d6ec2cf815e65b82915a9eae1e,WETH/PEPE,2025-W28,30.0,546.7026,182234.1957,382098.03,1154.955985,0.735128,849.0409,0.6439,False
0x46d398a5b33709877f50c8918a7ee96f1be1d7dd,WETH/VVV,2025-W28,30.0,622.1078,207369.2652,744178.23,7286.635898,0.735128,5356.6125,0.1161,False
0x51c230951b82dbf7b8696b6fcd2be199cc10779f,RFL/USDC,2025-W28,5.0,286.4867,572973.4138,183317.52,5881.077078,0.735128,4323.3464,0.0663,False
0x54cdd0222df6b3bc17754c2c1b3d7d4203fe3d89,WETH/REI,2025-W28,30.0,10304.3916,3434797.2056,1564399.0,55915.505926,0.735128,41105.073,0.2507,False
0x74e4c08bb50619b70550733d32b7e60424e9628e,WETH/TOSHI,2025-W28,30.0,13931.0145,4643671.5149,1284799.88,19181.224839,0.735128,14100.662,0.988,False
0x7c42dd1556754be827e187ce0870e70c5e571f35,WETH/HEU,2025-W28,30.0,801.7796,267259.8594,658547.89,4205.731911,0.735128,3091.7527,0.2593,False
0x7ce345561e1690445eefa0db04f59d64b65598a8,wBLT/USDC,2025-W28,5.0,149.1489,298297.7538,1309040.77,3618.317663,0.735128,2659.9279,0.0561,False
0x80866012a372c686a3b71a2ab05d004e29b36e1b,WETH/RED,2025-W28,30.0,1075.7934,358597.8063,349534.62,3062.648946,0.735128,2251.44,0.4778,False
0x8a7b72f8ff5299e493317d4430293894107af859,WETH/SIGN,2025-W28,30.0,1124.5922,374864.082,855857.63,1880.707282,0.735128,1382.5612,0.8134,False
0x8a80bc9528564c75c50e227a7213c3136b1de7e5,MXNe/WETH,2025-W28,30.0,2.0357,678.5646,1298.66,0.0,0.735128,0.0,,True
0x984faeed533d60b53f142ad76b629d64849ea507,WETH/ACOLYT,2025-W28,30.0,240.7547,80251.5798,117729.78,1925.739998,0.735128,1415.666,0.1701,False
0xa41bc0affba7fd420d186b84899d7ab2ac57fcd1,USDC/USDT,2025-W28,1.0,901.8419,9018419.308,3107680.48,6400.745342,0.735128,4705.3693,0.1917,False
0xad04be2b6613586f83049d5953611baa23971340,WETH/OKAYEG,2025-W28,30.0,0.0677,22.564,24413.48,0.0,0.735128,0.0,,True
0xbe700f5c75dfcbef3cae37873aeeb1724daed3f6,uDOGE/WETH,2025-W28,30.0,546.4844,182161.4513,129463.5,422.378487,0.735128,310.5024,1.76,True
0xcb1f3e1a6bb8a0e2d97bdc9d48db093b2c0095f9,USDC/rETH,2025-W28,5.0,517.397,1034794.041,198657.98,816.115771,0.735128,599.9498,0.8624,False
0xce62141227cfd3fe8d715f403b99f0377c0c16c6,USDC/SQD,2025-W28,5.0,72.7438,145487.5805,9539.43,1041.633974,0.735128,765.7347,0.095,False
0xdfe5f275020def30993f042174fc2d335678b626,AERO/cbBTC,2025-W28,30.0,71856.6969,23952232.3058,3419772.76,126397.086723,0.735128,92918.0804,0.7733,False
0x0c1a09d5d0445047da3ab4994262b22404288a3b,USDC/USD+,2025-W29,1.0,425.4383,4254383.1899,8759119.47,502.651128,0.87568,440.1617,0.9666,False
0x178904d6f5f49074fc3fdb918f0170e0dbb1677e,PSTAKE/USDC,2025-W29,30.0,0.2365,78.8452,14187.37,0.0,0.87568,0.0,,True
0x1d6aaa7ae38856fffc37e5e3c99d1c392631f450,WETH/AION,2025-W29,30.0,292.6367,97545.5731,107999.15,226.037668,0.87568,197.9367,1.4784,True
0x3333e1d9174720d6ec2cf815e65b82915a9eae1e,WETH/PEPE,2025-W29,30.0,727.2687,242422.9018,450698.69,2397.542009,0.87568,2099.4803,0.3464,False
0x46d398a5b33709877f50c8918a7ee96f1be1d7dd,WETH/VVV,2025-W29,30.0,1199.9554,399985.1304,831941.8,2613.042141,0.87568,2288.1895,0.5244,False
0x51c230951b82dbf7b8696b6fcd2be199cc10779f,RFL/USDC,2025-W29,5.0,327.3572,654714.3358,204020.69,5498.864609,0.87568,4815.2474,0.068,False
