date,chain,dex,pair,pair_address,base_symbol,base_address,quote_symbol,price_usd,liquidity_usd,market_cap,fdv,vol_24h,vol_6h,vol_1h,txns_24h_buys,txns_24h_sells,price_change_24h,pair_created_at,pool_age_days,vol_tvl_24h,buy_sell_ratio_24h,labels,passed_filter,discovery_source,inverse_connector,csv_avg_liquidity_7d,csv_avg_vol_7d,csv_days_seen,lp_exit_signal,fee_tier_bps,fee_read_method,lp_type,dynamic_fee,est_fees_24h_usd,est_fees_per_tvl_24h,vol_7d_usd,fees_7d_usd,tvl_avg_7d_usd,data_days,seven_day_source
2026-08-09,base,uniswap,TOSHI/WETH,0x4b0Aaf3EBb163dd45F663b38b6d93f6093EBC2d3,TOSHI,0xAC1Bd2486aAf3B5C0fc3Fd868558b082a531B2B4,WETH,0.0001048,945226.84,44115377.0,44115377.0,5431.3,1840.43,0.0,30,2,1.54,1699314201000,1006.32,0.0057,15.0,v3,True,trending_meta,False,931508.8,6896.85,8,False,100.0,fee(),CL/V3,False,54.31,5.7e-05,53669.22,536.69,760089.78,8,uniswap
2026-08-09,base,uniswap,KEYCAT/WETH,0x377FeeeD4820B3B28D1ab429509e7A0789824fCA,KEYCAT,0x9a26F5433671751C3276a065f57e5a02D2817973,WETH,0.000389,572672.65,3890339.0,3890339.0,18558.72,204.59,0.0,51,71,-0.02,1711420803000,866.2,0.0324,0.718,v2,True,trending_meta,False,565604.57,19520.09,8,False,30.0,getReserves.v2,V2,False,55.68,9.7e-05,,,,,
2026-08-09,base,aerodrome,VIRTUAL/WETH,0x21594b992F68495dD28d605834b58889d0a727c7,VIRTUAL,0x0b3e328455c4059EEb9e3f84b5543F74E24e7E1b,WETH,0.5695,4422553.91,569569687.0,569569687.0,24045.79,551.97,3.76,93,27,1.21,1711899559000,860.65,0.0054,3.444,,True,trending_meta,False,4414288.13,63633.0,8,False,30.0,getReserves.v2,V2,False,72.14,1.6e-05,,,,,
2026-08-09,base,uniswap,BNKR/WETH,0xAEC085E5A5CE8d96A7bDd3eB3A62445d4f6CE703,BNKR,0x22aF33FE49fD1Fa80c7149773dDe5890D3c76F3b,WETH,0.0003277,1785228.11,31778905.0,31778905.0,10228.27,488.34,0.78,142,170,-1.14,1733201093000,614.11,0.0057,0.835,v3,True,trending_meta,False,1740982.65,45034.35,8,False,100.0,fee(),CL/V3,False,102.28,5.7e-05,338189.73,3381.9,1798222.53,8,uniswap
2026-08-09,base,aerodrome,POD/USDC,0x48C5D4a6677ED59646A9C6465db2562bE4a20AEC,POD,0xeD664536023d8E4b1640C394777D34aBAFF1dF8F,USDC,0.3599,253485.73,15613172.0,179952080.0,19248.07,5726.55,291.99,53,58,-3.9,,,0.0759,0.914,,True,trending_meta,False,283599.35,82741.11,8,False,90.0,fee(),CL/V3,False,173.23,0.000683,,,,,
2026-08-09,base,aerodrome,REI/WETH,0x34E3334E845d101205394e0Bd8821fDdc7Cd5559,REI,0x6B2504A03ca4D43d0D73776F6aD46dAb2F2a4cFD,WETH,0.02864,2092407.25,28645609.0,28645609.0,40542.92,14774.88,717.33,41,137,-4.46,,,0.0194,0.299,,True,trending_meta,False,1990290.59,63871.14,8,False,100.0,fee(),CL/V3,False,405.43,0.000194,,,,,
2026-08-09,base,uniswap,AIXBT/VIRTUAL,0x7464850CC1cFb54A2223229b77B1BCA2f888D946,AIXBT,0x4F9Fd6Be4a90f2620860d680c0d4d5Fb53d1A825,VIRTUAL,0.01804,762501.53,17946374.0,17949993.0,4732.3,646.7,0.0,50,5,2.6,1730525195000,645.08,0.0062,10.0,v2,True,trending_meta,False,750603.3,5673.81,8,False,30.0,getReserves.v2,V2,False,14.2,1.9e-05,,,,,
2026-08-09,base,aerodrome,SERV/WETH,0x3416f5Fa0adE2D3de6935d4B204d9fe0b68C0eA6,SERV,0x5576D6ed9181F2225afF5282Ac0ED29f755437Ea,WETH,0.02869,822129.12,22097058.0,2476851.0,7142.33,453.55,63.77,39,17,0.17,,,0.0087,2.294,,True,trending_meta,False,770292.4,40849.1,8,False,150.0,fee(),CL/V3,False,107.13,0.00013,,,,,
2026-08-09,base,uniswap,doginme/WETH,0xADE9BcD4b968EE26Bed102dd43A55f6A8c2416df,doginme,0x6921B130D297cc43754afba22e5EAc0FBf8Db75b,WETH,6.041e-05,974355.95,4085258.0,4085258.0,2946.23,120.25,0.0,20,7,3.04,1707089717000,916.32,0.003,2.857,v3,True,trending_meta,False,957768.95,4615.5,8,False,100.0,fee(),CL/V3,False,29.46,3e-05,34724.4,347.24,1020540.15,8,uniswap
2026-08-09,base,uniswap,SKI/WETH,0x6d6391B9bD02Eefa00FA711fB1Cb828A6471d283,SKI,0x768BE13e1680b5ebE0024C42c896E3dB59ec0149,WETH,0.003464,542385.16,3464434.0,3464383.0,5364.2,652.44,423.61,21,15,-1.62,1712667481000,851.77,0.0099,1.4,v2,True,trending_meta,False,541044.86,13420.99,8,False,30.0,getReserves.v2,V2,False,16.09,3e-05,,,,,
2026-08-09,base,uniswap,BRETT/WETH,0xBA3F945812a83471d709BCe9C3CA699A19FB46f7,BRETT,0x532f27101965dd16442E59d40670FaF5eBB142E4,WETH,0.004191,932207.19,41540215.0,41540215.0,3957.87,219.63,0.0,31,18,1.77,1709041137000,893.74,0.0042,1.722,v3,True,trending_meta,False,914213.9,7099.86,8,False,100.0,fee(),CL/V3,False,39.58,4.2e-05,50518.19,505.18,958444.53,8,uniswap
2026-08-08,base,uniswap,DEGEN/WETH,0xc9034c3E7F58003E6ae0C8438e7c8f4598d5ACAA,DEGEN,0x4ed4E862860beD51a9570b96d89aF5E1B0Efefed,WETH,0.001253,118451.53,45567111.0,45560416.0,29961.44,5076.21,2087.86,316,322,-0.36,1704655845000,943.49,0.2529,0.981,v3,True,subgraph,False,615057.65,60925.77,6,True,30.0,fee(),CL/V3,False,89.88,0.000759,380351.3,1141.05,397563.68,8,uniswap
2026-08-09,base,uniswap,PING/USDC,0x98c8f03094a9e65ccedc14c40130e4a5dd0ce14fb12ea58cbeac11f662b458b9,PING,0xd85c31854c2B0Fb40aaA9E2Fc4Da23C21f829d46,USDC,0.001189,1020503.99,1189591.0,1189591.0,1601.43,100.94,52.62,7,13,-0.98,1761147317000,290.66,0.0016,0.538,v4,True,trending_meta,False,1014405.51,5267.54,8,False,100.0,v4.getSlot0,V4,False,16.01,1.6e-05,,,,,
2026-08-09,base,aerodrome,cbXRP/WETH,0xB90fe999Be6869AF0aFC557DCCfBE169EA3403D6,cbXRP,0xcb585250f852C6c6bf90434AB21A00f02833a4af,WETH,1.039,535159.28,115707341.0,115707341.0,500594.17,101624.34,45014.13,432,356,0.46,,,0.9354,1.213,,True,search,False,557243.38,945000.17,8,False,5.0,fee(),CL/V3,False,250.3,0.000468,,,,,
2026-08-09,base,aerodrome,cbBTC/WETH,0x42d4a22CaD0F5a49681a5715cE994Af73A43B76b,cbBTC,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,WETH,64841.91,7082735.24,2908304524.0,2902649547.0,39507344.42,9394612.59,1922634.88,2459,2511,-0.24,,,5.578,0.979,,True,search,False,6526415.99,76274676.75,8,False,2.75,fee(),CL/V3,False,10864.52,0.001534,,,,,
2026-08-09,base,uniswap,PEPE/WETH,0x0FB597D6cFE5bE0d5258A7f017599C2A4Ece34c7,PEPE,0x52b492a33E447Cdb854c7FC19F1e57E8BfA1777D,WETH,3.144e-09,197673.24,1322692.0,1279044.0,3633.65,2858.09,1073.57,17,21,1.87,1723143983000,730.51,0.0184,0.81,v3,True,search,False,196457.56,1055.78,8,False,100.0,fee(),CL/V3,False,36.34,0.000184,7880.38,78.8,149237.08,8,uniswap
2026-08-09,base,uniswap,BENJI/WETH,0x16905890A1D02b6F824387419319Bf4188B961b0,BENJI,0xBC45647eA894030a4E9801Ec03479739FA2485F0,WETH,0.001515,312154.79,1515154.0,1515154.0,4938.95,2125.56,0.0,25,9,0.37,1711225521000,868.46,0.0158,2.778,v2,True,search,False,305566.45,2682.68,8,False,30.0,getReserves.v2,V2,False,14.82,4.7e-05,,,,,
2026-08-09,base,aerodrome,cbXRP/WETH,0xA6da283cf7D06b2279626E787c329d6aCF7e2994,cbXRP,0xcb585250f852C6c6bf90434AB21A00f02833a4af,WETH,1.035,126229.22,115361125.0,115361125.0,649.77,172.85,0.0,14,16,-0.1,,,0.0051,0.875,,True,search,False,122567.66,1863.92,8,False,25.0,fee(),CL/V3,False,1.62,1.3e-05,14317.31,143.17,348374.16,8,aerodrome
2026-08-09,base,aerodrome,cbADA/WETH,0xb862F23ba38c8C65e256782B31E8C08C9aefd612,cbADA,0xcbADA732173e39521CDBE8bf59a6Dc85A9fc7b8c,WETH,0.199,43268.87,583255.0,10809481.0,48171.89,14870.87,274.12,152,125,-0.29,,,1.1133,1.216,,False,search,False,58715.66,196026.42,8,False,25.0,fee(),CL/V3,False,120.43,0.002783,1428841.72,4286.53,191304.2,8,aerodrome
2026-08-09,base,pancakeswap,cbXRP/WETH,0x170b6bFc071426aaB7C81AE12383219facBb6B6A,cbXRP,0xcb585250f852C6c6bf90434AB21A00f02833a4af,WETH,1.038,68359.66,115633482.0,115633482.0,39806.79,8122.69,1704.58,435,383,0.43,1749172815000,429.25,0.5823,1.136,,True,search,False,70538.01,55498.26,8,False,5.0,fee(),CL/V3,False,19.9,0.000291,,,,,
2026-08-08,base,pancakeswap,cbBTC/WETH,0xC211e1f853A898Bd1302385CCdE55f33a8C4B3f3,cbBTC,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,WETH,64997.73,5768019.49,2912983151.0,2906786474.0,39954122.76,3309552.3,445631.76,7112,6193,1.02,1726209947000,694.02,6.9268,1.148,,True,search,False,5535898.26,40685538.84,7,False,1.0,fee(),CL/V3,False,3995.41,0.000693,,,,,
2026-08-09,base,quickswap,PEPE/WETH,0x4e7b4B8F4AAE334Bd5b6c8e00f030A84610198A1,PEPE,0x52b492a33E447Cdb854c7FC19F1e57E8BfA1777D,WETH,3.109e-09,56965.18,1308003.0,1308003.0,1084.69,1002.09,342.25,5,9,0.1,1755024501000,361.52,0.019,0.556,v4,True,search,False,55700.74,306.47,8,False,5.0,globalState.lastFee,CLAMM,True,0.54,1e-05,,,,,
2026-08-09,base,aerodrome,cbDOGE/WETH,0xfb338cb462c9e44cAE9f442fEb09e8E904fFed47,cbDOGE,0xcbD06E5A2B0C65597161de254AA074E489dEb510,WETH,0.07064,49969.59,8235763.0,8235763.0,2466.34,0.05,0.05,19,1,1.28,,,0.0494,19.0,,False,search,False,51674.46,3612.12,8,False,100.0,fee(),CL/V3,False,24.66,0.000494,11997.76,119.98,113744.78,8,aerodrome
2026-08-09,base,hydrex,cbETH/WETH,0xB1383DC47D9971Fc999C3A9088F79E744b376e97,cbETH,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,WETH,2181.25,2049038.6,152478346.0,152478346.0,509727.0,87695.17,9704.18,150,299,0.14,1753983279000,373.57,0.2488,0.502,CLAMM,True,search,False,2086004.4,1215170.04,8,False,5.0,globalState.lastFee,CLAMM,True,254.86,0.000124,,,,,
2026-08-09,base,alien-base,cbETH/WETH,0xc715096EeCC3f4A0FDBfF055a3db2926adC83244,cbETH,0x2Ae3F1Ec7F1F5012CFEab0185bfc7aa3cf0DEc22,WETH,2176.83,303639.72,158949104.0,158949104.0,149.46,1.92,0.0,10,1,-0.01,1731937757000,628.73,0.0005,10.0,V3,True,search,False,299881.45,3545.23,5,False,1.0,fee(),CL/V3,False,0.01,0.0,,,,,
2026-08-09,base,aerodrome,bsdETH/WETH,0x2ae9DF02539887d4EbcE0230168a302d34784c82,bsdETH,0xCb327b99fF831bF8223cCEd12B1338FF3aA322Ff,WETH,2066.55,1041332.8,1180539.0,1180539.0,573.43,1.03,0.0,18,8,0.02,,,0.0006,2.25,,True,subgraph,False,788358.15,68380.44,8,False,1.0,fee(),CL/V3,False,0.06,0.0,527937.23,52.79,906961.43,8,aerodrome
2026-08-02,base,aerodrome,bsdETH/WETH,0x6B87B8663eE63191887F18225F79D9eEb2DE0d34,bsdETH,0xCb327b99fF831bF8223cCEd12B1338FF3aA322Ff,WETH,2016.76,712154.83,1072516.0,1072516.0,160.6,74.1,17.93,14,8,0.22,1709069089000,886.49,0.0002,1.75,,True,search,False,712154.83,160.6,1,False,30.0,getReserves.v2,V2,False,0.48,1e-06,,,,,
2026-08-09,base,uniswap,Baseforever Token/USDC,0x0ef3c117D6369a382bC24C05C9F2bae598b0208D,Baseforever Token,0x2bdfFbD8bBaF20E511A73B8689312BFeC5098aE9,USDC,0.07241,321484.23,178757447.0,178764761.0,4651.78,1840.0,2.93,7,20,-1.09,1761402889000,287.7,0.0145,0.35,v2,True,search,False,314213.35,12774.33,8,False,30.0,getReserves.v2,V2,False,13.96,4.3e-05,,,,,
2026-08-09,base,aerodrome,cbBTC/USDC,0x4e962BB3889Bf030368F56810A9c96B83CB3E778,cbBTC,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,USDC,64808.85,9267224.68,2906821687.0,2901169593.0,3562375.41,942545.1,66256.96,1582,1246,-0.25,,,0.3844,1.27,,True,subgraph,False,8897870.3,51938065.44,8,False,1.0,fee(),CL/V3,False,356.24,3.8e-05,390126830.38,195063.42,25319492.09,8,aerodrome
2026-08-08,base,aerodrome,cbBTC/USDC,0x160D7E9d948B16c163332a277b393c288408eb12,cbBTC,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,USDC,64968.15,5032452.12,2905463659.0,2905463659.0,28846856.31,2795588.68,308273.26,6678,6183,1.04,,,5.7322,1.08,,True,search,False,4268623.45,30976874.85,7,False,0.75,fee(),CL/V3,False,2163.51,0.00043,,,,,
2026-08-09,base,pancakeswap,cbXRP/USDC,0xaAbA8e9c7038a9E1224Bb51150546242A1f64E5C,cbXRP,0x3aA748515e96420a0AEe76fa6251d90ACdb3e6e4,USDC,0.001176,117542566.76,117637851.0,117637851.0,20.82,0.01,0.01,3,1,0.21,1761188413000,290.18,0.0,3.0,,True,search,False,117290943.71,3.2,7,False,1.0,fee(),CL/V3,False,0.0,0.0,,,,,
2026-08-08,base,uniswap,cbXRP/USDC,0xb8fa9b30d8bc4cfa94d0228a7b57d613b53048838ce4e2d44033dae8cf1e03e2,cbXRP,0xcb585250f852C6c6bf90434AB21A00f02833a4af,USDC,1.033,17569.41,115128941.0,115128941.0,792.08,128.08,0.0,75,35,0.5,1752772107000,386.59,0.0451,2.143,v4,True,inverse_connector,True,17941.08,512.16,4,False,30.0,v4.getSlot0,V4,False,2.38,0.000135,,,,,
2026-08-06,base,pancakeswap,cbBTC/USDC,0xb94b22332ABf5f89877A14Cc88f2aBC48c34B3Df,cbBTC,0xcbB7C0000aB88B473b1f5aFd9ef808440eed33Bf,USDC,64784.22,1727862.72,2898025962.0,2898025962.0,5623065.51,836662.74,109454.64,6307,6172,1.21,1726210063000,692.04,3.2543,1.022,,True,search,False,1696043.49,5025706.07,5,False,1.0,fee(),CL/V3,False,562.31,0.000325,,,,,
